StarCraft II: Heart of the Swarm,April,2013,2013 Norwegian StarLeague Season 1,1400,USD,48,
StarCraft II: Heart of the Swarm,April,2013,Adelaide Arena LAN 7,150,USD,8,
StarCraft II: Heart of the Swarm,April,2013,Goodgame.ru Roccat Challenge,1958,USD,16,
StarCraft II: Heart of the Swarm,April,2013,CSN Sakura Tournament,305,USD,,
StarCraft II: Heart of the Swarm,April,2013,Cybercraft NYC Tournament 1.0,200,USD,,
StarCraft II: Heart of the Swarm,April,2013,UC Davis Spring LAN,300,USD,,
StarCraft II: Heart of the Swarm,April,2013,SoCal LANFest 2013,1010,USD,64,
StarCraft II: Heart of the Swarm,April,2013,PxL-Lan 37,1305,USD,40,
StarCraft II: Heart of the Swarm,April,2013,NetWars HotS Cup #1,650,PLN,16,
StarCraft II: Heart of the Swarm,April,2013,ACL 2013 Pro Circuit Season 1,2635,USD,16,
StarCraft II: Heart of the Swarm,March,2013,The Party 11,1950,USD,40,
StarCraft II: Heart of the Swarm,March,2013,Second Ignition Starcraft Open,620,USD,32,
StarCraft II: Heart of the Swarm,March,2013,Svenska E-sportcupen 2013 Norrkšping,6300,USD,4,
StarCraft II: Heart of the Swarm,March,2013,Copenhagen Games 2013,1967,USD,40,
StarCraft II: Heart of the Swarm,March,2013,GA 2013 Mad Catz Invitational,1958,USD,8,
StarCraft II: Heart of the Swarm,March,2013,Gamers Assembly 2013 Mad Catz Open,4570,USD,96,
StarCraft II: Heart of the Swarm,March,2013,2013 MLG Winter Exhibition,1500,USD,16,
StarCraft II: Heart of the Swarm,March,2013,Fan4fan #2,630,USD,39,
StarCraft II: Heart of the Swarm,March,2013,Techlabs Cup Moscow 2013,2500,USD,4,
StarCraft II: Heart of the Swarm,March,2013,Ritmix OGIC 3,1959,USD,8,
StarCraft II: Heart of the Swarm,March,2013,One.de HotS Cup,1800,USD,12,
StarCraft II: Heart of the Swarm,March,2013,Home Clash II,587,USD,16,
StarCraft II: Heart of the Swarm,March,2013,Day[9]'s King of the Beta,3500,USD,8,
StarCraft II: Heart of the Swarm,June,2013,Winter Night Major #5,155,USD,128,
StarCraft II: Heart of the Swarm,June,2013,SEA Masters Cup #31,170,USD,128,
StarCraft II: Heart of the Swarm,May,2013,Winter Night Major #4,155,USD,128,
StarCraft II: Heart of the Swarm,May,2013,SEA Masters Cup #30,215,USD,128,
StarCraft II: Heart of the Swarm,April,2013,Go4SC2 Monthly Finals March 2013,500,EUR,16,
StarCraft II: Heart of the Swarm,April,2013,Yegalisk Master League #1,1000,EUR,8,
StarCraft II: Heart of the Swarm,April,2013,SEA Masters Cup #29,250,USD,128,
StarCraft II: Heart of the Swarm,April,2013,ZOTAC Monthly Final February,800,EUR,16,
StarCraft II: Heart of the Swarm,April,2013,Winter Night Major #3,195,USD,128,
StarCraft II: Heart of the Swarm,March,2013,Go4SC2 EU Monthly Final February,500,EUR,16,
